district,crop,season,sowing_date,harvest_date,season_total_rainfall_mm,season_avg_temp_c,season_avg_humidity,soil_pH,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,organic_carbon_pct,soil_moisture_pct,yield_kg_per_ha,harvest_days,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha
Balangir,Sugarcane,Rabi,2017-11-15,2018-03-15,472,23.81,53.16,6.1,300,28,212,0.93,15.92,3357,120,66,39,35
Balangir,Mustard,Kharif,2022-06-15,2022-10-30,1425,29.0,63.91,6.36,364,39,296,0.89,21.71,4458,137,46,72,46
Balangir,Groundnut,Kharif,2024-06-15,2024-10-30,827,21.05,78.35,6.33,319,55,208,0.55,25.75,4931,137,86,60,35
Balangir,Maize,Summer,2020-03-20,2020-06-10,281,17.0,57.7,6.9,290,58,300,1.13,23.68,5885,82,65,46,60
Balangir,Cotton,Kharif,2019-06-15,2019-10-30,930,25.55,65.79,7.01,309,41,157,1.16,20.06,3934,137,78,77,50
Balangir,Groundnut,Kharif,2023-06-15,2023-10-30,964,22.67,81.68,7.38,341,45,202,1.07,18.32,5398,137,90,40,27
Balangir,Rice,Rabi,2020-11-15,2021-03-15,260,16.35,50.36,7.08,291,37,270,0.76,34.57,4481,120,82,37,26
Balangir,Maize,Kharif,2018-06-15,2018-10-30,1524,32.9,76.22,7.1,378,26,283,0.52,33.21,2024,137,79,61,28
Balangir,Maize,Kharif,2021-06-15,2021-10-30,1518,27.4,80.67,6.39,206,53,162,0.84,27.94,5829,137,71,55,45
Balangir,Pulses,Rabi,2023-11-15,2024-03-15,254,19.61,53.35,6.0,236,55,189,0.95,27.46,3451,121,80,75,38
Balangir,Pulses,Kharif,2017-06-15,2017-10-30,960,29.54,70.57,6.7,328,34,250,0.73,32.51,4298,137,61,47,31
Balangir,Mustard,Kharif,2019-06-15,2019-10-30,1196,24.18,83.01,6.2,323,42,205,1.05,17.12,2222,137,65,72,28
Balangir,Pulses,Rabi,2015-11-15,2016-03-15,383,19.93,59.56,7.43,357,56,186,0.87,16.75,5740,121,74,49,25
Balangir,Maize,Summer,2019-03-20,2019-06-10,288,17.99,64.37,6.4,359,58,265,0.88,20.94,2313,82,44,59,60
Balangir,Sugarcane,Summer,2020-03-20,2020-06-10,209,20.92,55.48,6.11,361,27,195,0.79,31.6,2483,82,63,38,20
Balangir,Rice,Summer,2019-03-20,2019-06-10,451,20.24,50.42,5.96,305,58,173,0.86,34.5,2579,82,126,76,28
Balangir,Mustard,Rabi,2021-11-15,2022-03-15,531,25.86,46.16,7.19,297,41,191,0.57,21.76,5979,120,93,70,43
Balangir,Vegetables,Rabi,2017-11-15,2018-03-15,268,24.8,52.9,6.55,266,28,293,0.95,21.79,5793,120,53,48,27
Balangir,Sugarcane,Kharif,2020-06-15,2020-10-30,1507,28.3,61.08,7.09,252,60,226,1.04,33.97,4006,137,87,41,58
Balangir,Rice,Rabi,2018-11-15,2019-03-15,503,26.71,41.66,5.54,336,46,291,0.65,15.59,5562,120,132,67,55
Balangir,Vegetables,Summer,2019-03-20,2019-06-10,533,19.16,58.01,5.58,309,21,277,1.01,24.24,5827,82,50,52,44
Balangir,Pulses,Summer,2018-03-20,2018-06-10,576,18.26,43.64,7.24,220,27,206,0.5,16.43,2696,82,81,39,24
Balangir,Rice,Kharif,2025-06-15,2025-10-30,1346,25.55,78.96,6.28,377,26,273,0.86,21.34,2411,137,92,65,48
Balangir,Mustard,Summer,2021-03-20,2021-06-10,291,27.67,51.9,5.65,270,38,182,0.58,18.1,4334,82,97,33,28
Balangir,Groundnut,Rabi,2024-11-15,2025-03-15,386,27.89,49.06,5.79,361,39,269,0.58,15.74,4974,120,40,58,49
Balangir,Pulses,Kharif,2016-06-15,2016-10-30,1284,22.07,61.99,5.54,213,26,283,0.95,20.13,4048,137,90,59,20
Balangir,Rice,Kharif,2017-06-15,2017-10-30,1240,25.3,68.04,5.59,220,58,197,0.92,31.78,5081,137,84,63,21
Balangir,Groundnut,Rabi,2024-11-15,2025-03-15,253,24.08,43.36,6.93,273,52,231,0.8,22.17,5660,120,44,63,40
Balangir,Cotton,Summer,2015-03-20,2015-06-10,350,27.79,63.01,6.8,216,52,283,0.53,33.74,4074,82,54,54,32
Balangir,Rice,Rabi,2024-11-15,2025-03-15,548,15.01,54.9,5.74,352,45,181,0.74,33.61,5940,120,83,63,21
Balangir,Mustard,Summer,2015-03-20,2015-06-10,560,16.98,51.4,5.51,396,59,249,0.9,31.11,4048,82,85,55,30
Balangir,Sugarcane,Kharif,2018-06-15,2018-10-30,1228,34.19,73.23,5.72,205,41,184,0.96,23.06,5694,137,66,50,23
Balangir,Pulses,Summer,2016-03-20,2016-06-10,298,26.27,56.74,6.39,209,43,206,0.85,15.27,2604,82,70,40,51
Balangir,Pulses,Summer,2021-03-20,2021-06-10,597,18.28,42.05,6.76,395,53,297,0.73,17.6,3924,82,86,59,21
Balangir,Maize,Rabi,2023-11-15,2024-03-15,512,21.34,44.46,6.08,323,37,253,0.63,16.55,2016,121,64,59,26
Balangir,Sugarcane,Kharif,2023-06-15,2023-10-30,1170,21.82,82.52,7.4,272,52,240,0.82,27.4,2832,137,62,39,32
Balangir,Mustard,Kharif,2015-06-15,2015-10-30,1375,24.22,76.86,7.12,351,42,172,1.1,16.37,4416,137,96,32,38
Balangir,Rice,Kharif,2023-06-15,2023-10-30,1041,27.85,72.21,6.24,261,33,250,0.52,27.98,2966,137,128,65,45
Balangir,Maize,Summer,2018-03-20,2018-06-10,496,20.03,49.85,5.67,303,45,295,1.16,22.62,2180,82,64,76,49
Balangir,Cotton,Kharif,2016-06-15,2016-10-30,873,26.55,60.9,6.46,248,29,169,0.6,24.02,4989,137,71,51,31
Balangir,Pulses,Summer,2023-03-20,2023-06-10,233,26.61,47.64,6.23,211,36,281,0.69,15.92,4679,82,90,37,41
Balangir,Vegetables,Kharif,2025-06-15,2025-10-30,847,33.67,70.91,6.55,361,24,223,0.62,32.73,4095,137,41,74,20
Balangir,Sugarcane,Kharif,2023-06-15,2023-10-30,1500,25.47,81.69,6.48,315,50,159,1.05,21.2,5929,137,71,73,30
Balangir,Maize,Kharif,2025-06-15,2025-10-30,1361,23.32,83.92,6.48,305,24,298,1.01,27.11,2920,137,77,77,43
Balangir,Sugarcane,Rabi,2020-11-15,2021-03-15,216,19.89,45.3,6.67,219,26,289,0.59,33.79,3172,120,97,69,48
Balangir,Mustard,Summer,2020-03-20,2020-06-10,370,19.01,47.76,6.76,319,49,210,1.09,17.33,5114,82,56,32,25
Balangir,Mustard,Rabi,2019-11-15,2020-03-15,270,27.8,67.17,6.42,336,35,194,1.04,22.17,3456,121,50,71,55
Balangir,Pulses,Kharif,2023-06-15,2023-10-30,1405,29.22,81.24,5.64,361,51,180,0.97,22.23,5263,137,45,61,41
Balangir,Groundnut,Kharif,2017-06-15,2017-10-30,905,26.08,60.42,6.46,307,40,185,0.7,33.42,3342,137,67,68,29
Balangir,Groundnut,Summer,2023-03-20,2023-06-10,357,26.89,51.38,7.06,364,57,220,0.72,18.1,3953,82,61,69,43
Balangir,Sugarcane,Summer,2021-03-20,2021-06-10,515,17.35,57.55,6.74,210,46,296,0.97,23.15,5759,82,95,66,48
Balangir,Groundnut,Summer,2025-03-20,2025-06-10,499,25.42,63.15,7.12,207,50,204,0.57,34.59,5371,82,62,54,29
Balangir,Groundnut,Rabi,2016-11-15,2017-03-15,454,24.44,53.59,7.03,286,49,165,1.09,19.71,3314,120,93,62,46
Balangir,Cotton,Rabi,2017-11-15,2018-03-15,389,18.2,49.32,5.55,247,42,174,0.99,23.55,4795,120,77,61,51
Balangir,Groundnut,Summer,2016-03-20,2016-06-10,542,23.08,44.27,7.41,206,38,261,0.85,32.36,4659,82,45,64,25
Balangir,Maize,Rabi,2019-11-15,2020-03-15,495,26.28,54.13,6.13,274,30,239,0.77,24.7,4222,121,77,57,24
Balangir,Vegetables,Rabi,2024-11-15,2025-03-15,320,23.24,43.82,7.49,325,45,156,0.54,19.86,3033,120,59,70,40
Balangir,Vegetables,Kharif,2021-06-15,2021-10-30,1170,28.37,77.17,5.9,307,52,151,1.02,24.21,5379,137,69,60,50
Balangir,Sugarcane,Rabi,2021-11-15,2022-03-15,298,19.51,50.06,7.23,299,56,222,1.02,17.32,3822,120,86,75,39
Balangir,Vegetables,Kharif,2025-06-15,2025-10-30,1111,26.02,66.34,6.22,334,29,283,0.56,20.53,3883,137,97,35,26
Balangir,Rice,Kharif,2021-06-15,2021-10-30,1363,27.76,83.16,5.91,269,20,168,0.92,15.39,3249,137,107,56,56
Balangir,Groundnut,Rabi,2015-11-15,2016-03-15,237,24.85,64.44,5.57,253,32,300,0.67,31.81,2500,121,97,68,24
Balangir,Mustard,Summer,2021-03-20,2021-06-10,513,25.51,44.09,5.99,283,44,183,1.14,27.51,4168,82,90,40,55
Balangir,Pulses,Summer,2022-03-20,2022-06-10,236,15.49,41.68,5.63,219,40,270,0.72,22.07,2492,82,46,42,59
Balangir,Sugarcane,Kharif,2025-06-15,2025-10-30,1379,29.25,83.09,6.71,287,38,212,0.59,34.27,4613,137,44,74,26
Balangir,Pulses,Rabi,2024-11-15,2025-03-15,436,25.7,64.67,5.58,207,35,209,0.59,18.09,4668,120,85,76,40
Balangir,Vegetables,Summer,2015-03-20,2015-06-10,414,21.62,55.41,7.28,353,30,184,0.7,31.3,3800,82,91,74,48
Balangir,Mustard,Rabi,2017-11-15,2018-03-15,285,15.34,64.57,6.96,384,59,300,0.84,17.6,3743,120,79,77,51
Balangir,Vegetables,Summer,2015-03-20,2015-06-10,564,25.84,44.1,6.06,251,32,251,0.52,21.09,4009,82,74,51,29
Balangir,Rice,Rabi,2022-11-15,2023-03-15,348,17.29,42.91,6.09,388,32,222,0.75,30.52,3600,120,94,46,55
Balangir,Vegetables,Kharif,2023-06-15,2023-10-30,1029,27.48,68.11,6.61,285,30,153,0.89,33.55,3835,137,78,80,46
Balangir,Cotton,Rabi,2024-11-15,2025-03-15,278,17.96,41.43,7.47,237,49,217,0.78,18.85,5409,120,74,41,44
Balangir,Groundnut,Kharif,2018-06-15,2018-10-30,917,28.65,69.99,6.94,381,60,261,0.87,27.82,2465,137,99,34,20
Balangir,Maize,Rabi,2025-11-15,2026-03-15,567,18.63,44.55,7.39,341,59,231,0.57,24.82,3275,120,54,80,23
Balangir,Maize,Rabi,2023-11-15,2024-03-15,388,27.73,66.93,6.11,249,46,187,1.19,29.83,2446,121,64,34,45
Balangir,Groundnut,Summer,2021-03-20,2021-06-10,329,24.35,43.06,6.72,274,59,218,0.67,29.89,2151,82,64,69,27
Balangir,Vegetables,Rabi,2023-11-15,2024-03-15,552,21.52,51.54,5.9,362,20,183,1.19,28.54,3314,121,75,72,47
Balangir,Mustard,Rabi,2024-11-15,2025-03-15,373,26.19,41.07,6.47,263,36,259,0.62,19.15,2394,120,42,51,53
Balangir,Maize,Rabi,2025-11-15,2026-03-15,318,15.43,69.72,7.32,369,53,200,0.91,19.85,5038,120,49,52,28
Balangir,Groundnut,Summer,2018-03-20,2018-06-10,286,22.11,43.25,7.41,370,56,228,0.55,31.55,4692,82,44,42,26
Balangir,Groundnut,Rabi,2018-11-15,2019-03-15,451,23.16,45.7,5.73,314,35,230,0.76,23.03,2109,120,85,54,20
Balangir,Sugarcane,Summer,2023-03-20,2023-06-10,568,18.41,57.49,6.54,316,56,245,0.82,26.68,4573,82,71,49,36
Balangir,Rice,Summer,2019-03-20,2019-06-10,240,18.08,53.77,7.46,219,51,188,1.16,17.75,5851,82,116,54,46
Balangir,Vegetables,Rabi,2021-11-15,2022-03-15,241,20.7,64.9,6.12,295,34,205,0.87,19.76,3225,120,79,41,32
Balangir,Mustard,Summer,2015-03-20,2015-06-10,471,26.37,51.75,6.58,232,49,183,0.78,34.04,2350,82,59,80,44
Balangir,Rice,Rabi,2016-11-15,2017-03-15,363,19.79,56.67,5.91,284,36,189,0.55,16.14,4037,120,116,37,43
Balangir,Cotton,Summer,2018-03-20,2018-06-10,353,22.31,54.78,7.0,309,42,279,0.64,33.62,5273,82,58,35,40
Balangir,Rice,Rabi,2022-11-15,2023-03-15,379,24.06,56.92,7.05,239,30,292,0.61,33.44,4574,120,126,43,53
Balangir,Pulses,Kharif,2016-06-15,2016-10-30,1382,23.67,62.99,5.6,227,60,294,1.02,21.43,5080,137,56,46,48
Balangir,Sugarcane,Summer,2016-03-20,2016-06-10,443,27.61,41.39,6.51,358,32,261,0.88,15.1,2434,82,51,43,43
Balangir,Sugarcane,Rabi,2018-11-15,2019-03-15,501,19.04,57.18,6.49,295,21,199,0.82,25.41,4327,120,97,79,30
Balangir,Sugarcane,Kharif,2021-06-15,2021-10-30,857,32.62,64.14,5.96,282,48,272,1.01,17.47,5537,137,94,77,25
Balangir,Sugarcane,Rabi,2021-11-15,2022-03-15,299,22.17,46.2,6.6,222,58,166,0.5,29.17,3746,120,41,33,33
Balangir,Maize,Summer,2017-03-20,2017-06-10,430,17.99,45.21,6.38,347,20,153,0.52,15.57,4375,82,78,76,51
Balangir,Cotton,Summer,2017-03-20,2017-06-10,554,18.76,69.17,6.92,261,29,226,0.66,31.23,4881,82,95,49,56
Balangir,Maize,Summer,2020-03-20,2020-06-10,396,16.8,62.4,5.94,348,55,232,0.64,23.7,4843,82,44,70,26
Balangir,Pulses,Summer,2021-03-20,2021-06-10,280,21.13,69.94,6.21,227,31,290,0.65,21.95,4209,82,44,56,37
Balangir,Rice,Summer,2019-03-20,2019-06-10,482,17.08,53.57,6.16,325,38,162,0.96,19.3,4396,82,90,76,31
Balangir,Cotton,Rabi,2015-11-15,2016-03-15,434,19.42,65.13,6.36,393,35,285,0.55,31.97,5294,121,62,39,49
Balangir,Sugarcane,Summer,2019-03-20,2019-06-10,370,27.51,64.44,6.61,200,52,264,0.58,29.84,4613,82,94,63,41
Balangir,Maize,Kharif,2024-06-15,2024-10-30,1397,33.01,80.94,7.2,341,30,226,0.97,24.27,5308,137,52,67,60
Balangir,Vegetables,Rabi,2015-11-15,2016-03-15,214,15.42,53.84,5.83,264,24,260,0.96,33.64,4374,121,82,39,50
Balangir,Sugarcane,Kharif,2017-06-15,2017-10-30,1574,27.19,77.24,7.21,223,40,297,0.87,32.11,4509,137,95,49,28
Balangir,Pulses,Rabi,2021-11-15,2022-03-15,394,24.05,41.73,6.43,271,20,213,0.9,20.37,2428,120,55,32,28
Balangir,Sugarcane,Summer,2022-03-20,2022-06-10,421,22.91,49.35,7.42,297,27,283,0.82,32.95,3897,82,88,45,41
Balangir,Rice,Kharif,2016-06-15,2016-10-30,1140,30.06,63.43,5.73,244,41,170,0.77,26.39,2315,137,90,66,20
Balangir,Mustard,Kharif,2021-06-15,2021-10-30,1404,24.07,73.2,6.36,289,51,288,0.86,21.39,2154,137,42,39,45
Balangir,Sugarcane,Kharif,2025-06-15,2025-10-30,1354,25.68,79.52,7.36,361,56,254,1.13,16.88,4121,137,43,58,26
Balangir,Maize,Kharif,2020-06-15,2020-10-30,1260,34.1,70.55,6.51,258,49,161,1.1,22.7,2751,137,53,39,54
Balangir,Vegetables,Kharif,2018-06-15,2018-10-30,1111,34.05,67.37,6.42,331,46,150,0.89,26.49,4623,137,60,65,39
Balangir,Vegetables,Summer,2020-03-20,2020-06-10,438,18.09,43.79,7.23,251,55,211,1.05,18.79,5172,82,73,66,37
Balangir,Rice,Summer,2016-03-20,2016-06-10,354,27.07,62.68,6.65,273,44,156,0.75,26.36,4559,82,87,75,52
Balangir,Vegetables,Kharif,2019-06-15,2019-10-30,1544,24.57,76.74,6.45,334,51,286,1.0,19.72,5533,137,81,69,48
Balangir,Cotton,Summer,2023-03-20,2023-06-10,423,23.13,42.67,7.16,248,41,258,0.99,24.83,3315,82,66,50,40
Balangir,Maize,Kharif,2025-06-15,2025-10-30,1577,20.93,70.95,7.46,289,42,199,0.59,31.87,5919,137,75,55,54
Balangir,Pulses,Summer,2016-03-20,2016-06-10,499,17.39,57.21,7.15,250,27,167,1.06,16.51,4633,82,62,57,40
Balangir,Groundnut,Kharif,2017-06-15,2017-10-30,1401,23.22,72.96,6.53,303,24,262,0.96,19.97,3491,137,72,75,53
Balangir,Vegetables,Kharif,2023-06-15,2023-10-30,1501,25.58,75.03,5.98,265,21,244,1.15,16.49,3231,137,42,73,24
Balangir,Sugarcane,Summer,2019-03-20,2019-06-10,280,24.27,42.6,6.7,345,56,226,0.78,32.16,4295,82,42,34,26
Balangir,Sugarcane,Rabi,2020-11-15,2021-03-15,443,21.55,61.87,6.32,353,60,180,0.73,23.84,3494,120,79,59,43
Balangir,Cotton,Summer,2019-03-20,2019-06-10,368,24.44,41.62,6.84,334,24,227,0.62,27.01,3526,82,68,77,32
Balangir,Sugarcane,Summer,2020-03-20,2020-06-10,490,17.43,55.74,6.66,355,39,241,0.81,19.76,5411,82,87,46,41
Balangir,Cotton,Rabi,2016-11-15,2017-03-15,503,23.6,42.61,5.88,340,21,208,0.98,19.3,4958,120,51,45,27
Balangir,Rice,Summer,2025-03-20,2025-06-10,206,15.37,69.31,5.66,227,60,229,1.04,27.86,5640,82,120,30,21
Balangir,Rice,Rabi,2020-11-15,2021-03-15,453,20.51,42.12,5.61,365,49,226,0.6,29.54,3297,120,94,43,43
Balangir,Maize,Rabi,2022-11-15,2023-03-15,592,24.87,48.41,7.49,392,34,254,0.53,16.07,4325,120,94,48,24
Balangir,Rice,Kharif,2016-06-15,2016-10-30,899,24.62,68.56,6.01,265,32,254,0.99,18.48,5531,137,126,51,43
Balangir,Rice,Summer,2017-03-20,2017-06-10,415,18.61,46.32,6.97,371,42,248,0.91,21.33,2589,82,134,66,56
Balangir,Sugarcane,Summer,2021-03-20,2021-06-10,508,20.78,42.54,7.35,349,55,222,1.1,16.74,5469,82,67,45,44
Balangir,Sugarcane,Rabi,2017-11-15,2018-03-15,389,24.86,42.07,6.13,296,54,255,1.03,25.36,5798,120,76,77,54
Balangir,Groundnut,Summer,2025-03-20,2025-06-10,454,20.84,44.45,7.24,278,38,153,0.89,27.88,4879,82,92,66,36
Balangir,Maize,Kharif,2025-06-15,2025-10-30,1231,29.49,70.72,7.12,306,28,273,0.87,26.01,2888,137,87,79,59
Balangir,Pulses,Summer,2018-03-20,2018-06-10,392,15.38,40.77,6.44,319,50,201,0.96,23.84,3878,82,72,78,46
Balangir,Rice,Rabi,2020-11-15,2021-03-15,479,27.13,45.86,7.09,399,46,259,0.89,21.93,3043,120,99,41,52
Balangir,Sugarcane,Summer,2017-03-20,2017-06-10,534,21.27,44.91,5.8,265,25,293,0.61,32.3,4085,82,84,42,55
Balangir,Maize,Rabi,2017-11-15,2018-03-15,355,20.7,48.92,5.75,309,45,230,0.78,34.49,3939,120,89,65,35
Balangir,Mustard,Summer,2021-03-20,2021-06-10,228,17.96,56.06,6.6,293,21,212,1.07,32.29,5164,82,90,36,33
Balangir,Sugarcane,Summer,2022-03-20,2022-06-10,453,23.51,54.37,6.9,271,35,250,0.72,24.26,2286,82,92,41,20
Balangir,Vegetables,Kharif,2017-06-15,2017-10-30,1220,24.78,67.31,5.66,335,25,293,1.14,30.99,5666,137,65,31,33
Balangir,Groundnut,Kharif,2022-06-15,2022-10-30,924,28.6,77.17,6.43,395,41,212,0.75,22.94,4443,137,92,72,60
Balangir,Vegetables,Rabi,2023-11-15,2024-03-15,311,24.96,48.24,5.59,346,24,293,1.03,15.79,3359,121,52,60,49
Balangir,Sugarcane,Rabi,2016-11-15,2017-03-15,552,25.81,62.81,6.66,287,49,180,1.08,17.07,3770,120,84,41,56
Balangir,Vegetables,Kharif,2021-06-15,2021-10-30,1232,25.65,78.95,6.81,333,53,244,0.59,32.12,5384,137,71,61,32
Balangir,Rice,Rabi,2021-11-15,2022-03-15,572,24.53,47.34,6.59,247,50,167,0.92,24.75,4351,120,136,66,34
Balangir,Maize,Rabi,2020-11-15,2021-03-15,478,22.63,58.37,7.12,370,54,282,0.81,28.09,4271,120,94,53,33
Balangir,Vegetables,Summer,2022-03-20,2022-06-10,418,27.18,49.78,6.75,338,47,209,1.09,30.45,3905,82,62,61,39
Balangir,Cotton,Kharif,2017-06-15,2017-10-30,1328,20.15,71.39,5.58,250,50,244,0.72,24.4,2142,137,62,30,50
Balangir,Cotton,Rabi,2015-11-15,2016-03-15,240,26.43,59.71,6.53,295,36,268,1.08,17.02,4203,121,94,54,59
Balangir,Cotton,Kharif,2022-06-15,2022-10-30,1253,22.31,70.51,6.02,276,57,275,1.18,26.03,3729,137,65,62,25
Balangir,Pulses,Rabi,2017-11-15,2018-03-15,324,19.27,45.32,6.32,313,32,294,0.56,27.38,5950,120,69,68,42
Balangir,Vegetables,Kharif,2023-06-15,2023-10-30,1345,23.95,77.05,5.5,226,36,277,1.03,30.47,4407,137,93,60,38
Balangir,Sugarcane,Summer,2016-03-20,2016-06-10,515,25.97,54.02,7.07,336,40,228,0.9,33.5,4774,82,77,73,22
Balangir,Sugarcane,Summer,2020-03-20,2020-06-10,373,22.11,45.14,5.6,332,48,185,1.06,30.53,2694,82,62,53,36
Balangir,Sugarcane,Kharif,2017-06-15,2017-10-30,984,32.49,82.29,7.31,280,45,227,1.13,25.49,4295,137,63,34,31
Balangir,Sugarcane,Summer,2023-03-20,2023-06-10,490,15.29,48.21,5.74,226,31,289,1.09,18.42,5636,82,63,31,34
Balangir,Groundnut,Kharif,2017-06-15,2017-10-30,1214,21.08,81.22,6.86,204,56,162,0.68,25.61,4158,137,78,50,32
Balangir,Sugarcane,Summer,2018-03-20,2018-06-10,413,23.68,50.52,6.06,289,49,190,0.97,25.29,4063,82,83,32,35
Balangir,Groundnut,Rabi,2018-11-15,2019-03-15,210,24.76,64.75,6.22,201,47,235,0.7,17.14,2302,120,89,64,43
Balangir,Rice,Rabi,2015-11-15,2016-03-15,454,25.31,64.91,7.35,300,42,259,0.55,24.7,5636,121,89,39,48
Balangir,Mustard,Kharif,2025-06-15,2025-10-30,1330,33.15,72.31,6.52,225,35,175,0.99,16.15,3914,137,48,37,30
Balangir,Mustard,Kharif,2021-06-15,2021-10-30,935,33.45,72.31,5.53,226,41,294,0.59,19.38,2170,137,83,42,36
Balangir,Maize,Rabi,2022-11-15,2023-03-15,316,24.51,47.62,6.25,231,45,245,0.78,34.77,4899,120,63,67,28
Balangir,Sugarcane,Kharif,2017-06-15,2017-10-30,1280,34.02,72.04,6.28,318,49,215,0.55,27.49,2586,137,94,64,32
Balangir,Maize,Summer,2020-03-20,2020-06-10,384,22.49,44.68,7.4,304,54,225,0.6,18.02,2513,82,44,79,41
Balangir,Pulses,Summer,2023-03-20,2023-06-10,480,19.6,67.08,6.11,400,22,213,1.0,30.83,3747,82,48,77,56
Balangir,Sugarcane,Rabi,2017-11-15,2018-03-15,312,23.46,44.16,7.11,342,21,218,0.78,27.32,5591,120,80,43,43
Balangir,Pulses,Rabi,2021-11-15,2022-03-15,471,21.83,52.78,6.03,364,58,252,0.82,24.64,5280,120,55,63,36
Balangir,Groundnut,Summer,2021-03-20,2021-06-10,436,21.12,47.34,7.15,390,31,296,0.62,16.71,3450,82,97,46,47
Balangir,Maize,Rabi,2015-11-15,2016-03-15,441,16.58,63.91,6.74,262,24,157,1.15,15.9,4680,121,99,65,26
Balangir,Cotton,Kharif,2024-06-15,2024-10-30,1360,23.56,66.37,7.0,367,42,287,0.52,24.9,4286,137,82,78,33
Balangir,Groundnut,Summer,2023-03-20,2023-06-10,222,26.8,55.58,5.86,213,40,194,0.63,27.39,3294,82,46,30,40
Balangir,Groundnut,Summer,2016-03-20,2016-06-10,510,21.7,64.96,6.46,332,54,286,0.57,18.48,3702,82,66,79,57
Balangir,Vegetables,Kharif,2016-06-15,2016-10-30,1362,32.23,84.92,5.82,394,40,245,0.81,18.8,4012,137,84,54,35
Balangir,Vegetables,Kharif,2021-06-15,2021-10-30,1582,24.34,60.73,6.43,316,36,226,0.82,23.31,2379,137,64,32,59
Balangir,Maize,Kharif,2022-06-15,2022-10-30,828,30.87,82.61,7.08,366,25,210,1.12,26.09,4095,137,59,62,21
Balangir,Cotton,Summer,2021-03-20,2021-06-10,300,21.85,63.5,5.76,309,38,151,0.71,34.23,5175,82,61,68,46
Balangir,Groundnut,Kharif,2021-06-15,2021-10-30,1423,20.58,81.0,7.05,254,24,194,0.52,19.07,5440,137,95,41,53
Balangir,Mustard,Rabi,2022-11-15,2023-03-15,208,26.8,42.3,6.39,335,39,230,1.13,15.81,3311,120,48,70,30
Balangir,Rice,Kharif,2017-06-15,2017-10-30,1509,31.92,84.54,6.44,295,53,219,0.7,21.38,2485,137,136,39,35
Balangir,Mustard,Rabi,2022-11-15,2023-03-15,402,24.33,48.39,5.82,332,50,192,1.08,16.94,4129,120,78,71,59
Balangir,Sugarcane,Kharif,2015-06-15,2015-10-30,1243,28.6,78.19,7.02,390,20,269,0.82,18.87,3977,137,43,54,44
Balangir,Sugarcane,Kharif,2018-06-15,2018-10-30,1533,24.69,83.8,6.84,341,27,287,0.78,16.24,3806,137,82,71,46
Balangir,Groundnut,Rabi,2017-11-15,2018-03-15,510,15.79,50.27,6.38,306,24,232,0.86,17.96,5954,120,80,34,28
Balangir,Vegetables,Kharif,2018-06-15,2018-10-30,1149,29.98,65.75,6.02,379,44,271,0.85,21.0,4710,137,40,32,50
Balangir,Mustard,Summer,2025-03-20,2025-06-10,593,20.53,47.79,6.92,321,43,222,0.73,18.4,2015,82,50,47,35
Balangir,Maize,Kharif,2015-06-15,2015-10-30,1510,23.41,78.11,7.34,276,21,182,0.76,25.09,3984,137,50,56,51
Balangir,Sugarcane,Rabi,2017-11-15,2018-03-15,322,23.89,43.54,6.19,271,60,177,0.71,23.65,3771,120,76,44,50
Balangir,Cotton,Summer,2021-03-20,2021-06-10,459,27.5,59.24,6.9,291,40,228,1.02,29.64,4783,82,72,42,54
Balangir,Sugarcane,Summer,2017-03-20,2017-06-10,278,25.57,65.09,7.37,397,21,289,0.88,29.31,4915,82,54,72,32
Balangir,Rice,Kharif,2025-06-15,2025-10-30,852,23.21,78.77,7.06,310,46,213,1.12,17.24,4680,137,144,72,52
Balangir,Sugarcane,Kharif,2015-06-15,2015-10-30,1048,26.04,82.75,6.94,347,59,171,0.51,34.99,4331,137,77,44,45
Balangir,Cotton,Rabi,2017-11-15,2018-03-15,293,27.36,65.34,7.05,259,31,153,0.67,25.89,5002,120,53,51,59
Balangir,Cotton,Summer,2020-03-20,2020-06-10,506,22.91,62.83,7.43,281,38,277,1.06,23.33,4747,82,70,75,55
Balangir,Vegetables,Rabi,2020-11-15,2021-03-15,523,16.36,60.98,5.96,340,25,178,1.08,19.77,2483,120,89,71,59
Balangir,Maize,Rabi,2016-11-15,2017-03-15,499,26.45,69.67,6.32,397,55,262,0.63,30.47,4915,120,99,48,58
Balangir,Pulses,Summer,2016-03-20,2016-06-10,490,16.78,61.04,6.07,333,55,270,0.77,15.64,5788,82,47,71,40
Balangir,Pulses,Kharif,2018-06-15,2018-10-30,957,27.58,65.44,6.72,288,55,234,0.69,26.19,2467,137,50,43,43
Balangir,Pulses,Summer,2019-03-20,2019-06-10,516,27.24,41.82,6.72,281,47,165,0.52,26.81,5047,82,95,31,30
Balangir,Cotton,Summer,2022-03-20,2022-06-10,591,26.66,66.04,5.61,304,31,186,0.84,16.78,3023,82,95,66,26
Balangir,Sugarcane,Rabi,2018-11-15,2019-03-15,229,15.17,51.03,6.98,361,35,289,1.09,32.31,3759,120,43,70,32
Balangir,Sugarcane,Kharif,2019-06-15,2019-10-30,1071,28.08,62.39,6.62,211,59,267,1.01,25.78,4265,137,68,40,26
Balangir,Maize,Rabi,2019-11-15,2020-03-15,273,27.05,53.51,5.63,344,35,164,0.75,26.97,4935,121,81,59,41
